Country Name,Country Code,Year,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)_scaled,Population growth (annual %)_scaled,People using safely managed sanitation services (% of population)_scaled,Access to electricity (% of population)_scaled,People using at least basic drinking water services (% of population)_scaled,Population living in slums (% of urban population)_scaled,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)_scaled",GDP growth (annual %)_scaled,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_scaled,"Population, total_scaled","Life expectancy at birth, total (years)_scaled",GDP per capita (current US$)_scaled
Mozambique,MOZ,2013,,0.430989058022206,,0.21774193548387094,0.3233444079108307,,0.8777621134573537,0.41868566262970797,-1.1591107004502408,-0.06041986279139121,-1.5593964618952598,-1.324181485853041
Croatia,HRV,2009,0.01053740779768177,0.34037032261604977,0.779567604161389,1.0,,,0.45910079990192765,0.32667300929149407,0.5633839112126763,-0.21929567550794818,0.5999769623566253,0.6016688103486018
Bangladesh,BGD,2010,0.2644889357218124,0.3700632288522627,0.182042185990613,0.5493951612903225,0.9576085557627976,0.551971608074237,0.5437647491495294,0.41181411454909733,-0.998755239407314,0.9132955364826489,-0.32834845390372275,-1.2621689738113964
Timor-Leste,TLS,2010,,0.4166482183943963,,0.375,0.5540935821373414,0.5009726885721316,0.6848355757148548,0.437658909319488,-1.0705397367027378,-0.24395822576865797,-0.8231569369679741,-1.2173965380229523
Mali,MLI,2019,,0.4348487560801515,0.143774241708027,0.4747983870967742,0.7451934132056519,,0.7044960004903611,0.40788356731475184,-1.0802771310393264,-0.0909231874823123,-1.328660291820691,-1.1047128475969303
Sweden,SWE,2008,0.0073761854583772385,0.3671138602375865,0.951867738966494,1.0,0.994861457604348,0.0020038907542885265,0.6248122835514419,0.36716730867772784,0.6606790758030834,-0.18166085394781664,1.1610831054878858,1.454578181357592
United Kingdom,GBR,2009,0.002107481559536354,0.3664289088124062,0.978966689038955,1.0,1.0,,0.5955744889515461,0.34175072324326217,0.9620947060366514,0.22464595102436877,1.0417578623887542,1.2238364526275547
Croatia,HRV,2024,,0.34872685980130863,,,,,0.4443133408930705,0.39973736342870314,,-0.22265661883944451,,0.9193592269960683
Tuvalu,TUV,2001,,0.3568306579513844,0.42288385868037104,0.9475806451612903,0.9856437865868211,,,0.3735129684533599,-1.3577731445842158,-0.252191269917501,-0.8175819506101558,-0.8491704831346322
Nepal,NPL,2021,,0.396184591698879,0.506103136312548,0.8981854838709677,0.8923020513612556,,0.25241349719574613,0.4067709942503759,-0.8804815410183726,-0.026545547494995374,-0.2855689667498573,-0.944461708271609
