epoch,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2
1,2.5922565481383292e+16,2.5923642161711216e+16,2.592239971324836e+16,2.592348872108741e+16,-8.966657475917931e+30,-9.864055661249008e+30
2,1.5169188141145234e+16,1.516975512051278e+16,1.5169092135448742e+16,1.5169665545360816e+16,-3.070430669656518e+30,-3.377696459336855e+30
3,4460356283345601.5,4460416080610051.0,4460315118896603.5,4460375066026158.5,-2.654689431659741e+29,-2.9202109419967162e+29
4,3499868192654549.5,3499856112261082.0,3499823167907393.5,3499809962015779.5,-1.634473928081169e+29,-1.7978930674401074e+29
5,1.930702747147033e+16,1.9307982787097056e+16,1.9306893804893556e+16,1.930785986260843e+16,-4.973996196096461e+30,-5.471889066099651e+30
6,8581042952888790.0,8581489009579193.0,8580981679719361.0,8581432648656470.0,-9.825502522212539e+29,-1.0809081202031168e+30
7,3493010877275427.0,3493229933203434.5,3492979006013644.5,3493201061592185.5,-1.6280753310304758e+29,-1.791091711279716e+29
8,3479355516611553.0,3479413021072026.0,3479329899345076.5,3479389109506845.5,-1.615370818793746e+29,-1.7769509789711973e+29
9,3480723278677874.5,3481066993041085.5,3480699359024190.5,3481045341183946.5,-1.616641098414871e+29,-1.778640761494289e+29
10,3479361144414727.0,3479419830150833.5,3479335559372553.0,3479395957086889.0,-1.6153760444720825e+29,-1.7769579338288234e+29
