epoch,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2
1,1.4075342838753498e+18,1.4075341243398408e+18,1.4075212937293453e+18,1.4075216065923026e+18,-2.6435807673409843e+34,-2.9079125623424766e+34
2,1.4924396440554975e+18,1.492416589650835e+18,1.4924257214538962e+18,1.4924026144179438e+18,-2.9721325453721e+34,-3.2692159884026626e+34
3,1.2645387086236677e+18,1.264465914913719e+18,1.264517410737811e+18,1.2644436994356887e+18,-2.1337271129870837e+34,-2.346808929982906e+34
4,1.0796877808638047e+18,1.0795799269185855e+18,1.0796652135890723e+18,1.0795562471581989e+18,-1.5555034994042893e+34,-1.710696946123463e+34
5,9.456362155102214e+17,9.455064410298331e+17,9.45609407700781e+17,9.454779646801549e+17,-1.1932262866250362e+34,-1.312177122436717e+34
6,8.358580221321736e+17,8.360607719807213e+17,8.358231037968609e+17,8.360268714229892e+17,-9.32265579207761e+33,-1.0259806540973263e+34
7,7.565322980107602e+17,7.563921061043384e+17,7.565026991393519e+17,7.563607197827318e+17,-7.637119166469592e+33,-8.397643885570692e+33
8,6.780312424153103e+17,6.782167453324535e+17,6.780039308708259e+17,6.781898634855274e+17,-6.134427404812711e+33,-6.751503467293152e+33
9,6.153762618232152e+17,6.155527955573475e+17,6.153558737530488e+17,6.155326096919474e+17,-5.053079119563319e+33,-5.561527567018028e+33
10,5.766578269357859e+17,5.768140762256872e+17,5.76644339030997e+17,5.768004836030154e+17,-4.4372204088931175e+33,-4.88354482558634e+33
