epoch,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2
1,1.3533384589216744e+17,1.3539664530833814e+17,1.3532238137207826e+17,1.3538448065615322e+17,-2.4439227104121863e+32,-2.6907867864915198e+32
2,1.4192403331001146e+17,1.4186293199150966e+17,1.4191162945425416e+17,1.4185024645273237e+17,-2.6877353870513226e+32,-2.9539377655623392e+32
3,1.5076157300341763e+17,1.5083326596961168e+17,1.5074853999382064e+17,1.5081954054657347e+17,-3.03288497750542e+32,-3.339317765263769e+32
4,1.2316589734482558e+17,1.231031923864046e+17,1.2315153100973666e+17,1.2308874103650882e+17,-2.024210020291326e+32,-2.2243448009430576e+32
5,1.0876263488457269e+17,1.0869888647134358e+17,1.0874865507317074e+17,1.0868478280272302e+17,-1.5784617425094857e+32,-1.7342578479545355e+32
6,9.211055955474325e+16,9.204331048304978e+16,9.209690700290398e+16,9.202940644871518e+16,-1.1321226020880102e+32,-1.2435061541341182e+32
7,8.340287409339368e+16,8.333220050509922e+16,8.33906651595716e+16,8.331953047682146e+16,-9.281895047140262e+31,-1.019269851221425e+32
8,7.444018056287563e+16,7.436989890182133e+16,7.442876490641118e+16,7.4357859359843e+16,-7.3941704131977045e+31,-8.118164746098368e+31
9,6.793876027435507e+16,6.801387540653585e+16,6.792778686316704e+16,6.800177007365332e+16,-6.15899505234517e+31,-6.789824065512542e+31
10,6.083813052150897e+16,6.076826477459686e+16,6.0825627853605224e+16,6.075501488877698e+16,-4.938855732334236e+31,-5.420222926825151e+31
