epoch,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2
1,5.894582153509807e+17,5.894606659435668e+17,5.894542973001686e+17,5.894568247821972e+17,-4.6363975699031743e+33,-5.100034794387741e+33
2,3.228493990402472e+17,3.228612037344172e+17,3.228472471572154e+17,3.2285923000174726e+17,-1.3908317121754672e+33,-1.5300132838950745e+33
3,2.2157910493879603e+17,2.215792489064587e+17,2.2157762089416342e+17,2.2157778104404067e+17,-6.551371501351705e+32,-7.206454517777465e+32
4,1.6928083114888746e+17,1.692876158233876e+17,1.6927966890942595e+17,1.6928655398433587e+17,-3.823756120385103e+32,-4.206431833467822e+32
5,1.3643223087668786e+17,1.364318413440015e+17,1.3643130529105763e+17,1.3643091751380742e+17,-2.483754007744958e+32,-2.732089734027718e+32
6,1.1471484218158418e+17,1.1471984345652045e+17,1.1471402748173168e+17,1.1471910121682315e+17,-1.755956866707898e+32,-1.9317039577382292e+32
7,9.855878476324498e+16,9.855815820042878e+16,9.855810404116618e+16,9.855747254515702e+16,-1.296179951243587e+32,-1.4257672552315192e+32
8,8.675139364067275e+16,8.675548121373069e+16,8.67507539435432e+16,8.675489942067803e+16,-1.0042169337659441e+32,-1.1047329927006235e+32
9,7.714377557721282e+16,7.714301520161496e+16,7.714323053915275e+16,7.714246123577002e+16,-7.9410220218847715e+31,-8.734875061863219e+31
10,6.974903117767503e+16,6.975256339171536e+16,6.9748495392626616e+16,6.975207646939684e+16,-6.4915884506135895e+31,-7.141407628876723e+31
